150,11,oc,av_p,av_k,av_s,av_zn,av_b,av_fe,av_cu,av_mn,target
7.7,0.23,0.34,2,51,18.7,0.7,0.16,6.32,4.36,3.25,2
7.7,0.27,0.58,3.3,59,7.7,0.69,0.35,3.64,1.58,1.88,2
7.6,0.15,0.36,3,62,8.6,0.71,0.14,2.14,1.66,8.58,2
7.5,0.25,0.65,3.6,68,4.3,0.87,0.34,2.75,1.47,3.15,2
7.3,0.15,0.46,6.1,74,18.6,1.75,0.56,6.35,0.53,1.55,2
7.3,0.23,0.34,6.2,74,19.2,0.87,0.34,2.71,1.16,1.29,2
7.6,0.28,0.32,3.5,26,12.5,0.75,0.47,3.75,0.86,1.91,2
7.6,0.19,0.59,4.6,74,17,1.01,0.14,7.13,1.02,1.9,2
7.4,0.34,0.37,3.4,43,13,0.75,0.33,2.71,1.84,1.89,2
7.4,0.25,0.26,3.7,29,13.8,0.74,0.32,2.72,0.3,1.56,2
7.3,0.26,0.69,4.4,33,16.3,0.58,2.61,2.72,0.24,10.58,2
7.4,0.31,0.37,3,52,12.9,0.99,0.31,2.56,0.21,1.25,2
7.3,0.32,0.59,4.8,42,11.7,0.75,0.35,4.68,1.08,1.64,2
7.3,0.15,0.25,4.2,23,12.8,1.45,0.61,6.36,1.32,1.69,2
7.3,0.16,0.74,6.2,74,12.9,0.56,0.21,2.11,1.22,1.23,2
7.3,0.23,0.86,2.3,47,13.6,0.75,0.78,2.72,0.98,8.24,2
7.3,0.32,0.27,2.8,47,12.9,0.77,3.04,6.38,0.45,1.36,2
7.1,0.26,0.55,3.5,18,18.3,0.76,0.16,4.68,0.76,2.56,2
7.2,0.18,0.25,2.3,30,19.4,1.12,0.19,10.67,0.99,4.31,2
7,0.15,0.45,1.8,37,14.4,0.68,0.28,3.69,1.62,2.68,2
7.1,0.26,0.32,3.2,23,19,0.69,0.32,4.11,0.48,3.75,2
7.2,0.18,1.16,2.8,27,18.8,0.74,1.51,2.72,0.76,3.21,2
6.9,0.26,0.47,2.5,74,11.6,1.32,3.78,4.97,1.35,3.18,2
7,0.19,0.58,2.5,30,19.3,0.78,0.46,5.22,1.71,2.56,2
8.7,0.22,0.76,2.7,44,6.6,0.71,0.79,4.08,0.52,1.57,2
7.9,0.17,0.35,1.8,74,7,1.35,0.46,12.1,0.36,1.79,2
8.7,0.15,0.77,1.8,40,18.7,1.24,0.39,6.36,0.42,3.15,2
8.5,0.33,0.77,1.4,30,7,0.72,0.54,5.55,0.43,1.42,2
8,0.26,1.07,2.4,37,7,0.62,0.49,2.85,0.22,9.29,2
8.5,0.21,0.77,1.6,37,8.4,0.75,0.71,3.12,0.28,1.78,2
8.2,0.41,0.86,2.3,51,8.4,0.54,0.63,2.94,0.33,8.57,2
8.1,0.69,0.26,1.8,72,8.4,0.62,0.19,4.88,0.27,8.23,2
8.7,0.48,0.35,1,29,19.2,0.76,0.47,10.39,1.27,1.9,2
8.1,0.26,0.87,1.6,32,15.2,0.52,0.38,5.37,0.87,1.8,2
